Dobna_skupina,Bjelovarsko-bilogorska,Brodsko-posavska,Dubrovačko-neretvanska,Grad Zagreb,Istarska,Karlovačka,Koprivničko-križevačka,Krapinsko-zagorska,Ličko-senjska,Međimurska,Osječko-baranjska,Požeško-slavonska,Primorsko-goranska,Šibensko-kninska,Sisačko-moslavačka,Splitsko-dalmatinska,Varaždinska,Virovitičko-podravska,Vukovarsko-srijemska,Zadarska,Zagrebačka,Hrvatska
 0-4,4666,5655,5684,39037,8186,4505,4611,5249,1759,5479,11113,2836,10312,3782,5680,19863,6759,3063,6085,7364,13847,175535
 5-9,4711,6046,5899,38579,8561,4689,4806,5396,1781,5581,11746,2934,11079,4076,5944,20315,7183,3220,6621,7696,14582,181445
10-14,5276,6873,6145,39028,9288,5258,5201,5950,1816,5826,12557,3382,11667,4421,6614,22441,8211,3642,7460,8204,16176,195436
15-19,5107,7195,5510,34474,8200,5130,5239,6009,1993,5692,12902,3499,10933,4371,6672,22271,8260,3660,8079,7927,15606,188729
20-24,5688,8018,6251,39605,8518,5523,5667,6890,2276,5886,14713,3917,11718,5119,7673,24400,9047,4005,8448,8767,16723,208852
25-29,5426,6939,6635,47276,9497,5319,5415,6957,2180,5740,14537,3499,12764,4856,6897,24749,8836,3707,7463,8931,16400,214023
30-34,5406,6952,7111,51538,11810,6115,5525,7376,2341,6031,14640,3244,15042,4974,7089,25508,9570,3722,7410,9003,17144,227551
35-39,6120,7429,7580,57126,13462,7089,6443,7909,2420,6943,16503,3725,17717,5582,8361,27448,10927,4346,8443,9907,20137,255617
40-44,6380,7657,7779,59381,14411,7636,6549,8026,2554,7195,16644,3853,19608,5938,8852,28080,11308,4529,8467,10634,21868,267349
45-49,6513,8192,7499,54446,13036,7424,6708,8174,2662,6966,16387,4125,18259,5877,9284,28344,11003,4350,9230,10377,21290,260146
50-54,6787,8895,7495,50451,12763,7706,7089,8955,2929,6770,17927,4352,17555,6213,9700,28049,11186,4866,9807,10311,20250,260056
55-59,7826,10370,7715,48853,14712,8865,7842,9591,3443,7676,20511,4971,19104,6985,10885,29179,12213,5859,11335,10800,20769,279504
60-64,8299,10586,8238,48564,15634,9469,7849,9144,3370,7808,21112,5103,21122,7787,11451,30650,11833,5933,11573,11554,21272,288351
65-69,7942,9792,8064,48448,15351,8838,7320,8190,3312,7297,19538,4868,21744,7970,11345,29090,10769,5216,10836,11659,21517,279106
70-74,6253,7255,6988,40893,12275,6724,5847,6434,2633,5527,14665,3656,19013,6995,9120,25317,8607,4085,8582,10648,17095,228612
75-79,3922,5146,4085,29332,7277,4349,3993,4399,1849,3874,9747,2522,10681,3957,5717,14276,5951,2622,5478,6498,11180,146855
80-84,3155,4245,3861,22745,6836,4123,2950,3382,1878,2783,7644,2172,9599,4271,4857,13412,4543,2034,4626,5497,8106,122719
85plus,2402,3022,3025,17355,5420,3433,2167,2671,1552,2176,5140,1426,7502,3207,3462,10015,3281,1509,3170,3989,6023,91947
Ukupno,101879,130267,115564,767131,195237,112195,101221,120702,42748,105250,258026,64084,265419,96381,139603,423407,159487,70368,143113,159766,299985,3871833
