Dobna_skupina,Bjelovarsko-bilogorska,Brodsko-posavska,Dubrovačko-neretvanska,Grad Zagreb,Istarska,Karlovačka,Koprivničko-križevačka,Krapinsko-zagorska,Ličko-senjska,Međimurska,Osječko-baranjska,Požeško-slavonska,Primorsko-goranska,Šibensko-kninska,Sisačko-moslavačka,Splitsko-dalmatinska,Varaždinska,Virovitičko-podravska,Vukovarsko-srijemska,Zadarska,Zagrebačka,Hrvatska,Bjelovarsko-bilogorska-M,Brodsko-posavska-M,Dubrovačko-neretvanska-M,Grad Zagreb-M,Istarska-M,Karlovačka-M,Koprivničko-križevačka-M,Krapinsko-zagorska-M,Ličko-senjska-M,Međimurska-M,Osječko-baranjska-M,Požeško-slavonska-M,Primorsko-goranska-M,Šibensko-kninska-M,Sisačko-moslavačka-M,Splitsko-dalmatinska-M,Varaždinska-M,Virovitičko-podravska-M,Vukovarsko-srijemska-M,Zadarska-M,Zagrebačka-M,Hrvatska-M,Bjelovarsko-bilogorska-Z,Brodsko-posavska-Z,Dubrovačko-neretvanska-Z,Grad Zagreb-Z,Istarska-Z,Karlovačka-Z,Koprivničko-križevačka-Z,Krapinsko-zagorska-Z,Ličko-senjska-Z,Međimurska-Z,Osječko-baranjska-Z,Požeško-slavonska-Z,Primorsko-goranska-Z,Šibensko-kninska-Z,Sisačko-Zoslavačka-Z,Splitsko-dalmatinska-Z,Varaždinska-Z,Virovitičko-podravska-Z,Vukovarsko-srijemska-Z,Zadarska-Z,Zagrebačka-Z,Hrvatska-Z
 0-4,4745,5681,5686,39059,8186,4509,4614,5257,1756,5492,11138,2841,10302,3773,5700,19893,6777,3063,6117,7369,13888,175783,2398,2986,2862,20204,4190,2275,2359,2695,896,2847,5761,1479,5274,1917,2954,10261,3417,1525,3150,3822,7085,90357,2284,2695,2824,18855,3996,2234,2255,2562,860,2645,5377,1362,5028,1856,2746,9632,3360,1538,6117,3547,6803,85426
 5-9,5149,6068,5918,38666,8565,4691,4818,5402,1782,5603,11770,2943,11068,4090,5971,20370,7187,3230,6638,7711,14591,181804,2508,3116,3008,19807,4427,2376,2449,2796,917,2919,6043,1487,5709,2127,3065,10506,3661,1656,3454,4014,7474,93519,2214,2952,2910,18859,4138,2315,2369,2606,865,2684,5727,1456,5359,1963,2906,9864,3526,1574,6638,3697,7117,88285
10-14,5530,6887,6175,39155,9297,5270,5213,5956,1822,5844,12592,3386,11669,4419,6652,22482,8229,3660,7524,8264,16202,195987,2764,3580,3150,20107,4842,2663,2782,3031,952,3006,6376,1791,5942,2249,3315,11480,4243,1906,3849,4201,8299,100528,2525,3307,3025,19048,4455,2607,2431,2925,870,2838,6216,1595,5727,2170,3337,11002,3986,1754,7524,4063,7903,95459
15-19,5410,7170,5526,35214,8246,5134,5236,5984,1942,5733,12984,3495,11071,4325,6676,22472,8312,3643,8110,7952,15672,189982,2611,3796,2878,17989,4335,2642,2729,3116,986,2972,6629,1792,5691,2209,3401,11566,4191,1900,4186,4043,8105,97767,2474,3374,2648,17225,3911,2492,2507,2868,956,2761,6355,1703,5380,2116,3275,10906,4121,1743,8110,3909,7567,92215
20-24,6607,8044,6365,40892,8643,5524,5697,6890,2283,5999,15006,3930,12115,5099,7720,24866,9138,4028,8567,8764,16838,212089,2942,4190,3270,20585,4360,2882,2925,3474,1182,3097,7704,2090,6247,2653,4074,12475,4669,2079,4467,4528,8589,108482,2739,3854,3095,20307,4283,2642,2772,3416,1101,2902,7302,1840,5868,2446,3646,12391,4469,1949,8567,4236,8249,103607
25-29,6037,7030,6719,47137,9586,5345,5465,7004,2208,5802,14741,3569,12908,4929,7050,25012,8962,3753,7694,9002,16540,215983,2973,3669,3456,23141,4855,2778,2895,3613,1122,3039,7695,1840,6502,2547,3713,12671,4712,1915,4021,4515,8495,110167,2554,3361,3263,23996,4731,2567,2570,3391,1086,2763,7046,1729,6406,2382,3337,12341,4250,1838,7694,4487,8045,105816
30-34,5816,7013,7112,51521,11877,6183,5600,7403,2354,6099,14807,3308,15133,5013,7233,25741,9645,3771,7599,9075,17299,229247,2859,3680,3586,24877,6017,3152,2872,3850,1218,3098,7669,1744,7590,2545,3840,12941,5046,1977,3952,4573,8753,115839,2602,3333,3526,26644,5860,3031,2728,3553,1136,3001,7138,1564,7543,2468,3393,12800,4599,1794,7599,4502,8546,113408
35-39,6251,7481,7594,57304,13513,7132,6511,7962,2445,6982,16630,3758,17804,5609,8471,27616,11008,4374,8566,9944,20241,257111,3197,3816,3826,27927,6767,3671,3320,4105,1281,3621,8469,1899,8819,2869,4436,13926,5674,2249,4364,4916,10189,129341,2969,3665,3768,29377,6746,3461,3191,3857,1164,3361,8161,1859,8985,2740,4035,13690,5334,2125,8566,5028,10052,127770
40-44,6534,7708,7800,59493,14441,7703,6605,8067,2590,7260,16761,3889,19682,5987,8960,28262,11393,4563,8586,10712,22028,268919,3348,3852,4047,28745,7323,3963,3411,4147,1328,3665,8437,1953,10084,3111,4631,14085,5825,2344,4315,5360,11200,135174,3081,3856,3753,30748,7118,3740,3194,3920,1262,3595,8324,1936,9598,2876,4329,14177,5568,2219,8586,5352,10828,133745
45-49,6644,8268,7517,54576,13083,7473,6769,8189,2693,7047,16520,4164,18332,5917,9383,28485,11113,4381,9377,10424,21471,261751,3371,4149,3868,26152,6644,3933,3437,4146,1424,3567,8179,2112,9161,3039,4836,14271,5755,2151,4822,5184,10803,131004,3198,4119,3649,28424,6439,3540,3332,4043,1269,3480,8341,2052,9171,2878,4547,14214,5358,2230,9377,5240,10668,130747
50-54,7340,8961,7518,50558,12810,7776,7132,8995,2959,6826,18042,4385,17642,6241,9823,28172,11269,4898,9942,10387,20409,261573,3398,4470,3731,23967,6209,3928,3516,4558,1559,3399,8807,2229,8559,3106,4997,13942,5631,2429,5011,5161,10250,128857,3430,4491,3787,26591,6601,3848,3616,4437,1400,3427,9235,2156,9083,3135,4826,14230,5638,2469,9942,5226,10159,132716
55-59,8043,10416,7728,48992,14751,8906,7879,9629,3442,7717,20616,5010,19183,7038,10975,29296,12262,5885,11423,10859,20893,280776,3848,5148,3658,22595,7102,4364,3853,4831,1810,3737,9935,2503,9016,3509,5495,14153,6024,2858,5568,5345,10115,135467,4028,5268,4070,26397,7649,4542,4026,4798,1632,3980,10681,2507,10167,3529,5480,15143,6238,3027,11423,5514,10778,145309
60-64,8391,10597,8237,48674,15660,9488,7858,9148,3380,7814,21157,5111,21177,7801,11488,30676,11857,5945,11603,11575,21314,288886,4036,5093,3996,21260,7469,4655,3843,4556,1732,3818,10059,2516,9819,3858,5587,14641,5713,2885,5590,5690,9918,136734,4290,5504,4241,27414,8191,4833,4015,4592,1648,3996,11098,2595,11358,3943,5901,16035,6144,3060,11603,5885,11396,152152
65-69,7423,9794,8073,48440,15348,8833,7313,8171,3314,7288,19539,4866,21724,7965,11326,29090,10755,5207,10839,11668,21501,278989,3712,4681,3797,20801,7209,4222,3494,3848,1675,3563,9176,2322,10114,3947,5277,13647,5110,2475,5025,5665,9912,129672,4223,5113,4276,27639,8139,4611,3819,4323,1639,3725,10363,2544,11610,4018,6049,15443,5645,2732,10839,6003,11589,149317
70-74,5414,7254,6968,40852,12263,6716,5843,6425,2637,5517,14654,3649,18988,6994,9116,25292,8596,4088,8580,10650,17080,228403,2760,3200,3176,16617,5643,3028,2523,2862,1194,2524,6307,1592,8528,3349,4037,11269,3750,1810,3663,5080,7486,100398,3481,4054,3792,24235,6620,3688,3320,3563,1443,2993,8347,2057,10460,3645,5079,14023,4846,2278,8580,5570,9594,128005
75-79,4329,5148,4074,29320,7267,4349,3989,4403,1850,3871,9751,2519,10665,3950,5702,14275,5950,2624,5474,6508,11160,146768,1519,2048,1777,11027,3100,1740,1491,1723,777,1594,3742,938,4530,1780,2256,6016,2365,948,2140,2878,4667,59056,2400,3100,2297,18293,4167,2609,2498,2680,1073,2277,6009,1581,6135,2170,3446,8259,3585,1676,5474,3630,6493,87712
80-84,3431,4244,3848,22727,6839,4128,2956,3389,1884,2787,7636,2172,9570,4265,4843,13394,4538,2040,4627,5500,8083,122627,1037,1429,1572,8387,2623,1408,963,995,729,875,2623,738,3677,1693,1656,5336,1448,684,1547,2269,2957,44646,2120,2815,2276,14340,4216,2720,1993,2394,1155,1912,5013,1434,5893,2572,3187,8058,3090,1356,4627,3231,5126,77981
85plus,2460,3018,3004,17364,5419,4509,2163,2668,1552,2182,5137,1425,7470,3209,3460,10018,3273,1507,3172,3976,5996,91851,664,849,943,5629,1667,972,556,607,512,499,1372,403,2442,1099,1041,3207,782,396,886,1313,1719,27558,1738,2169,2061,11735,3752,2464,1607,2061,1040,1683,3765,1022,5028,2110,2419,6811,2491,1111,3172,2663,4277,64293
Ukupno,102295,130782,115862,769944,195794,112596,101661,120942,42893,105863,259481,64420,266503,96624,140549,425412,160264,70660,144438,160340,301206,3888529,49945,63752,56601,359817,94782,54652,49418,58953,21294,51840,124983,31428,127704,47607,68611,206393,78016,34187,70010,78557,146016,1874566,52350,67030,59261,410127,101012,57944,52243,61989,21599,54023,134498,32992,138799,49017,71938,219019,82248,36473,144438,81783,155190,2013963
