Dobna_skupina,Bjelovarsko-bilogorska,Brodsko-posavska,Dubrovačko-neretvanska,Grad Zagreb,Istarska,Karlovačka,Koprivničko-križevačka,Krapinsko-zagorska,Ličko-senjska,Međimurska,Osječko-baranjska,Požeško-slavonska,Primorsko-goranska,Šibensko-kninska,Sisačko-moslavačka,Splitsko-dalmatinska,Varaždinska,Virovitičko-podravska,Vukovarsko-srijemska,Zadarska,Zagrebačka,Hrvatska,Bjelovarsko-bilogorska-M,Brodsko-posavska-M,Dubrovačko-neretvanska-M,Grad Zagreb-M,Istarska-M,Karlovačka-M,Koprivničko-križevačka-M,Krapinsko-zagorska-M,Ličko-senjska-M,Međimurska-M,Osječko-baranjska-M,Požeško-slavonska-M,Primorsko-goranska-M,Šibensko-kninska-M,Sisačko-moslavačka-M,Splitsko-dalmatinska-M,Varaždinska-M,Virovitičko-podravska-M,Vukovarsko-srijemska-M,Zadarska-M,Zagrebačka-M,Hrvatska-M,Bjelovarsko-bilogorska-Z,Brodsko-posavska-Z,Dubrovačko-neretvanska-Z,Grad Zagreb-Z,Istarska-Z,Karlovačka-Z,Koprivničko-križevačka-Z,Krapinsko-zagorska-Z,Ličko-senjska-Z,Međimurska-Z,Osječko-baranjska-Z,Požeško-slavonska-Z,Primorsko-goranska-Z,Šibensko-kninska-Z,Sisačko-Zoslavačka-Z,Splitsko-dalmatinska-Z,Varaždinska-Z,Virovitičko-podravska-Z,Vukovarsko-srijemska-Z,Zadarska-Z,Zagrebačka-Z,Hrvatska-Z
 0-4,4666,5655,5684,39037,8186,4505,4611,5249,1759,5479,11113,2836,10312,3782,5680,19863,6759,3063,6085,7364,13847,175535,2391,2972,2867,20202,4195,2276,2356,2683,902,2839,5755,1477,5284,1921,2945,10230,3415,1525,3126,3820,7064,90245,2275,2683,2817,18835,3991,2229,2255,2566,857,2640,5358,1359,5028,1861,2735,9633,3344,1538,2959,3544,6783,85290
 5-9,4711,6046,5899,38579,8561,4689,4806,5396,1781,5581,11746,2934,11079,4076,5944,20315,7183,3220,6621,7696,14582,181445,2500,3109,2997,19767,4429,2372,2442,2795,916,2906,6038,1483,5706,2117,3049,10470,3657,1647,3444,4003,7464,93311,2211,2937,2902,18812,4132,2317,2364,2601,865,2675,5708,1451,5373,1959,2895,9845,3526,1573,3177,3693,7118,88134
10-14,5276,6873,6145,39028,9288,5258,5201,5950,1816,5826,12557,3382,11667,4421,6614,22441,8211,3642,7460,8204,16176,195436,2756,3569,3137,20034,4838,2656,2777,3028,951,2993,6358,1783,5941,2247,3300,11443,4233,1894,3817,4167,8294,100216,2520,3304,3008,18994,4450,2602,2424,2922,865,2833,6199,1599,5726,2174,3314,10998,3978,1748,3643,4037,7882,95220
15-19,5107,7195,5510,34474,8200,5130,5239,6009,1993,5692,12902,3499,10933,4371,6672,22271,8260,3660,8079,7927,15606,188729,2626,3796,2882,17668,4326,2635,2728,3129,1016,2949,6593,1794,5636,2234,3400,11474,4165,1908,4160,4040,8069,97228,2481,3399,2628,16806,3874,2495,2511,2880,977,2743,6309,1705,5297,2137,3272,10797,4095,1752,3919,3887,7537,91501
20-24,5688,8018,6251,39605,8518,5523,5667,6890,2276,5886,14713,3917,11718,5119,7673,24400,9047,4005,8448,8767,16723,208852,2933,4166,3247,20070,4306,2866,2902,3473,1174,3052,7578,2069,6091,2667,4048,12290,4624,2064,4405,4531,8546,107102,2755,3852,3004,19535,4212,2657,2765,3417,1102,2834,7135,1848,5627,2452,3625,12110,4423,1941,4043,4236,8177,101750
25-29,5426,6939,6635,47276,9497,5319,5415,6957,2180,5740,14537,3499,12764,4856,6897,24749,8836,3707,7463,8931,16400,214023,2927,3635,3434,23182,4813,2760,2858,3588,1108,3019,7581,1805,6421,2519,3616,12548,4633,1893,3906,4479,8414,109139,2499,3304,3201,24094,4684,2559,2557,3369,1072,2721,6956,1694,6343,2337,3281,12201,4203,1814,3557,4452,7986,104884
30-34,5406,6952,7111,51538,11810,6115,5525,7376,2341,6031,14640,3244,15042,4974,7089,25508,9570,3722,7410,9003,17144,227551,2805,3649,3603,24911,5982,3115,2815,3830,1206,3064,7569,1708,7527,2523,3747,12781,4999,1947,3844,4512,8641,114778,2601,3303,3508,26627,5828,3000,2710,3546,1135,2967,7071,1536,7515,2451,3342,12727,4571,1775,3566,4491,8503,112773
35-39,6120,7429,7580,57126,13462,7089,6443,7909,2420,6943,16503,3725,17717,5582,8361,27448,10927,4346,8443,9907,20137,255617,3155,3781,3837,27848,6726,3650,3281,4075,1264,3599,8382,1879,8744,2850,4368,13834,5614,2222,4275,4893,10121,128398,2965,3648,3743,29278,6736,3439,3162,3834,1156,3344,8121,1846,8973,2732,3993,13614,5313,2124,4168,5014,10016,127219
40-44,6380,7657,7779,59381,14411,7636,6549,8026,2554,7195,16644,3853,19608,5938,8852,28080,11308,4529,8467,10634,21868,267349,3313,3826,4036,28706,7307,3924,3373,4113,1300,3626,8360,1923,10044,3075,4556,13979,5777,2314,4248,5303,11110,134213,3067,3831,3743,30675,7104,3712,3176,3913,1254,3569,8284,1930,9564,2863,4296,14101,5531,2215,4219,5331,10758,133136
45-49,6513,8192,7499,54446,13036,7424,6708,8174,2662,6966,16387,4125,18259,5877,9284,28344,11003,4350,9230,10377,21290,260146,3335,4098,3870,26071,6613,3900,3403,4131,1409,3521,8099,2087,9110,3011,4769,14188,5687,2137,4751,5153,10692,130035,3178,4094,3629,28375,6423,3524,3305,4043,1253,3445,8288,2038,9149,2866,4515,14156,5316,2213,4479,5224,10598,130111
50-54,6787,8895,7495,50451,12763,7706,7089,8955,2929,6770,17927,4352,17555,6213,9700,28049,11186,4866,9807,10311,20250,260056,3367,4439,3722,23930,6182,3884,3493,4526,1535,3362,8742,2208,8492,3088,4918,13864,5590,2405,4931,5122,10153,127953,3420,4456,3773,26521,6581,3822,3596,4429,1394,3408,9185,2144,9063,3125,4782,14185,5596,2461,4876,5189,10097,132103
55-59,7826,10370,7715,48853,14712,8865,7842,9591,3443,7676,20511,4971,19104,6985,10885,29179,12213,5859,11335,10800,20769,279504,3816,5113,3641,22512,7075,4342,3833,4809,1812,3716,9871,2479,8957,3480,5432,14090,5992,2844,5514,5307,10020,134655,4010,5257,4074,26341,7637,4523,4009,4782,1631,3960,10640,2492,10147,3505,5453,15089,6221,3015,5821,5493,10749,144849
60-64,8299,10586,8238,48564,15634,9469,7849,9144,3370,7808,21112,5103,21122,7787,11451,30650,11833,5933,11573,11554,21272,288351,4019,5095,3986,21198,7447,4641,3836,4549,1717,3809,10041,2508,9780,3843,5564,14612,5697,2873,5569,5671,9883,136338,4280,5491,4252,27366,8187,4828,4013,4595,1653,3999,11071,2595,11342,3944,5887,16038,6136,3060,6004,5883,11389,152013
65-69,7942,9792,8064,48448,15351,8838,7320,8190,3312,7297,19538,4868,21744,7970,11345,29090,10769,5216,10836,11659,21517,279106,3712,4681,3795,20816,7209,4220,3498,3859,1674,3570,9178,2322,10124,3942,5286,13651,5117,2482,5019,5659,9914,129728,4230,5111,4269,27632,8142,4618,3822,4331,1638,3727,10360,2546,11620,4028,6059,15439,5652,2734,5817,6000,11603,149378
70-74,6253,7255,6988,40893,12275,6724,5847,6434,2633,5527,14665,3656,19013,6995,9120,25317,8607,4085,8582,10648,17095,228612,2765,3198,3185,16660,5646,3028,2525,2870,1193,2528,6317,1597,8536,3354,4031,11276,3751,1808,3664,5078,7496,100506,3488,4057,3803,24233,6629,3696,3322,3564,1440,2999,8348,2059,10477,3641,5089,14041,4856,2277,4918,5570,9599,128106
75-79,3922,5146,4085,29332,7277,4349,3993,4399,1849,3874,9747,2522,10681,3957,5717,14276,5951,2622,5478,6498,11180,146855,1520,2048,1784,11025,3103,1736,1494,1718,776,1592,3740,939,4536,1785,2262,6017,2365,948,2140,2869,4668,59065,2402,3098,2301,18307,4174,2613,2499,2681,1073,2282,6007,1583,6145,2172,3455,8259,3586,1674,3338,3629,6512,87790
80-84,3155,4245,3861,22745,6836,4123,2950,3382,1878,2783,7644,2172,9599,4271,4857,13412,4543,2034,4626,5497,8106,122719,1038,1428,1575,8401,2620,1406,961,991,726,876,2627,736,3686,1696,1655,5348,1449,682,1545,2265,2961,44672,2117,2817,2286,14344,4216,2717,1989,2391,1152,1907,5017,1436,5913,2575,3202,8064,3094,1352,3081,3232,5145,78047
