datum,pozitivne osobe,pozitivne osobe kumulativno,učinjeni testovi,učinjeni testovi kumulativno,hospitalizirani u zadnja 24 sata,ukupno hospitaliziranih,na respiratoru u zadnja 24 sata,ukupno na respiratoru,preminuli u bolnici,preminuli u bolnici kumulativno
15/04/2020,38,1779,1422,25981,8,341,0,31,3,31
16/04/2020,34,1813,1475,27456,22,372,1,31,2,33
17/04/2020,12,1825,1304,28760,28,372,1,30,1,35
18/04/2020,34,1859,1563,30323,4,361,0,27,2,37
19/04/2020,23,1882,1014,31337,10,331,3,24,8,45
20/04/2020,18,1900,1249,32586,9,324,0,18,1,46
21/04/2020,28,1928,1646,34232,10,317,4,18,1,47
22/04/2020,53,1981,1624,35856,22,314,3,19,0,47
23/04/2020,19,2000,1625,37481,23,321,3,19,2,49
24/04/2020,15,2015,1492,38973,24,325,4,21,1,50
25/04/2020,14,2029,660,39633,7,316,2,21,3,53
26/04/2020,11,2040,681,40314,7,314,2,23,0,53
27/04/2020,3,2043,1533,41847,2,303,0,21,5,58
28/04/2020,12,2055,1497,43344,6,287,3,21,4,62
29/04/2020,19,2074,1636,44980,3,269,1,19,4,66
30/04/2020,11,2085,1538,46518,4,261,2,20,2,68
01/05/2020,3,2088,640,47158,6,245,0,17,6,74
02/05/2020,7,2095,1181,48339,3,239,2,17,2,76
03/05/2020,8,2103,897,49236,0,231,0,15,2,78
04/05/2020,9,2112,1405,50641,2,228,1,15,1,79
05/05/2020,7,2119,1844,52485,5,217,1,14,3,82
06/05/2020,8,2127,1565,54050,4,206,1,14,2,84
07/05/2020,22,2149,1556,55606,3,195,0,13,1,85
08/05/2020,24,2173,1565,57171,11,184,1,13,0,85
09/05/2020,10,2183,1395,58566,13,181,1,13,1,86
10/05/2020,14,2197,1030,59596,2,169,0,13,3,89
11/05/2020,8,2205,1760,61356,2,160,0,12,1,90
12/05/2020,8,2213,1875,63231,5,159,0,11,0,90
13/05/2020,5,2218,1876,65107,2,150,2,9,3,93
14/05/2020,5,2223,1390,66497,3,146,0,7,0,93
15/05/2020,1,2224,1807,68304,2,142,1,8,1,94
16/05/2020,3,2227,1363,69667,0,137,1,9,0,94
17/05/2020,1,2228,964,70631,1,130,2,10,0,94
18/05/2020,1,2229,1984,72615,1,122,0,10,0,94
19/05/2020,6,2235,1586,74201,6,120,2,10,1,95
20/05/2020,3,2238,1577,75778,2,117,0,9,0,95
21/05/2020,6,2244,1393,77171,2,117,0,9,0,95
22/05/2020,0,2244,1198,78369,4,102,0,5,2,97
23/05/2020,0,2244,1094,79463,0,84,1,6,0,97
24/05/2020,1,2245,891,80354,0,81,0,6,0,97
25/05/2020,0,2245,1316,81670,0,78,0,6,0,97
26/05/2020,0,2245,1282,82952,0,42,0,5,2,99
27/05/2020,1,2246,777,83729,0,38,1,6,0,99
28/05/2020,0,2246,615,84344,0,34,0,6,0,99
29/05/2020,1,2247,703,85047,0,28,0,4,2,101
30/05/2020,0,2247,356,85403,1,27,0,4,0,101
31/05/2020,0,2247,317,85720,0,23,0,4,0,101
01/06/2020,0,2247,625,86345,0,22,0,4,0,101
02/06/2020,0,2247,626,86971,0,17,0,4,0,101
03/06/2020,0,2247,462,87433,0,17,0,4,0,101
04/06/2020,1,2248,394,87827,0,15,0,3,0,101
05/06/2020,0,2248,407,88234,0,12,0,3,0,101
06/06/2020,0,2248,181,88415,0,10,0,1,1,102
07/06/2020,0,2248,102,88517,0,10,0,2,0,102
08/06/2020,0,2248,450,88967,0,10,0,2,0,102
09/06/2020,1,2249,383,89350,0,6,0,0,2,104
10/06/2020,1,2250,371,89721,1,7,0,0,0,104
11/06/2020,0,2250,146,89867,1,7,0,0,0,104
12/06/2020,2,2252,449,90316,0,6,0,0,1,105
13/06/2020,1,2253,210,90526,0,6,0,0,0,105
14/06/2020,0,2253,121,90647,1,7,0,0,0,105
15/06/2020,3,2256,447,91094,0,7,0,0,0,105
16/06/2020,3,2259,325,91419,0,4,0,0,0,105
17/06/2020,7,2266,401,91820,1,5,0,0,0,105
18/06/2020,10,2276,447,92267,4,9,0,0,0,105
19/06/2020,17,2293,590,92857,0,8,0,0,0,105
20/06/2020,20,2313,362,93219,0,8,0,0,0,105
21/06/2020,16,2329,338,93557,1,9,0,0,0,105
22/06/2020,32,2361,428,93985,1,9,0,0,0,105
23/06/2020,24,2385,929,94914,8,16,0,0,0,105
24/06/2020,71,2456,1084,95998,4,18,0,0,0,105
25/06/2020,53,2509,1017,97015,10,42,0,0,0,105
26/06/2020,76,2585,1535,98550,16,51,0,0,0,105
27/06/2020,94,2679,822,99372,6,54,0,0,0,105
28/06/2020,50,2729,612,99984,12,60,0,0,0,105
29/06/2020,32,2761,1430,101414,5,65,1,1,0,106
30/06/2020,56,2817,1521,102935,12,75,1,2,0,106
01/07/2020,77,2894,1450,104385,9,80,0,2,1,107
02/07/2020,95,2989,1524,105909,11,84,1,3,2,109
03/07/2020,92,3081,1756,107665,9,88,1,4,2,111
04/07/2020,68,3149,1273,108938,8,85,0,3,1,112
05/07/2020,63,3212,662,109600,13,93,1,4,0,112
06/07/2020,49,3261,2017,111617,9,90,1,5,0,112
07/07/2020,60,3321,1771,113388,5,89,0,5,0,112
08/07/2020,67,3388,2227,115615,8,91,0,4,1,113
09/07/2020,119,3507,1787,117402,20,100,0,3,1,114
10/07/2020,163,3670,1774,119176,13,104,1,4,2,116
11/07/2020,73,3743,1486,120662,26,124,1,3,1,117
12/07/2020,73,3816,865,121527,14,132,0,3,1,118
13/07/2020,57,3873,2251,123778,17,132,1,4,0,118
14/07/2020,82,3955,2587,126365,8,129,1,5,1,119
15/07/2020,70,4025,2215,128580,8,132,2,5,0,119
16/07/2020,79,4104,1943,130523,16,136,1,6,0,119
17/07/2020,139,4243,2045,132568,15,137,1,7,0,119
18/07/2020,101,4344,1543,134111,16,139,3,8,0,119
19/07/2020,25,4369,920,135031,20,153,1,9,0,119
20/07/2020,38,4407,2406,137437,7,147,0,9,2,121
21/07/2020,99,4506,2235,139672,11,138,2,9,1,122
22/07/2020,79,4585,2247,141919,19,143,1,9,2,124
23/07/2020,92,4677,1830,143749,11,132,0,7,3,127
24/07/2020,96,4773,2404,146153,12,139,3,9,0,127
25/07/2020,77,4850,1561,147714,8,134,2,9,5,132
26/07/2020,26,4876,774,148488,14,142,1,9,2,134
27/07/2020,37,4913,2353,150841,4,138,0,9,4,138
28/07/2020,69,4982,1988,152829,10,133,1,9,1,139
29/07/2020,85,5067,2171,155000,11,132,0,8,1,140
30/07/2020,58,5125,1886,156886,10,130,0,6,3,143
31/07/2020,64,5189,2178,159064,9,125,0,6,1,144
01/08/2020,75,5264,1885,160949,18,127,3,9,0,144
02/08/2020,33,5297,758,161707,14,131,1,6,4,148
03/08/2020,19,5316,1975,163682,5,130,0,6,4,152
04/08/2020,63,5379,1852,165534,7,117,1,7,1,153
05/08/2020,25,5404,767,166301,6,111,0,7,0,153
06/08/2020,54,5458,1736,168037,9,110,1,7,1,154
07/08/2020,70,5528,1998,170035,20,122,0,7,0,154
08/08/2020,79,5607,1398,171433,11,120,1,8,2,156
09/08/2020,27,5634,693,172126,6,121,0,8,0,156
10/08/2020,84,5718,2336,174462,8,124,0,8,1,157
11/08/2020,128,5846,1920,176382,5,115,0,5,2,159
12/08/2020,132,5978,2057,178439,7,117,3,8,0,159
13/08/2020,229,6207,1847,180286,8,115,2,10,1,160
14/08/2020,179,6386,2873,183159,7,106,1,10,2,162
15/08/2020,156,6542,1703,184862,22,118,2,11,2,164
16/08/2020,105,6647,1033,185895,13,126,1,11,1,165
17/08/2020,147,6794,3495,189390,4,126,0,11,0,165
18/08/2020,245,7039,3353,192743,12,120,2,11,0,165
19/08/2020,255,7294,3257,196000,19,122,1,11,2,167
20/08/2020,279,7573,3137,199137,11,127,2,13,0,167
