datum,pozitivne osobe,pozitivne osobe kumulativno,učinjeni testovi,učinjeni testovi kumulativno,hospitalizirani u zadnja 24 sata,ukupno hospitaliziranih,na respiratoru u zadnja 24 sata,ukupno na respiratoru,preminuli u bolnici,preminuli u bolnici kumulativno,izvor
15/04/2020,38,1779.0,1422,25981.0,8.0,341.0,0.0,31.0,3.0,31.0,hzjz
16/04/2020,34,1813.0,1475,27456.0,22.0,372.0,1.0,31.0,2.0,33.0,hzjz
17/04/2020,12,1825.0,1304,28760.0,28.0,372.0,1.0,30.0,1.0,35.0,hzjz
18/04/2020,34,1859.0,1563,30323.0,4.0,361.0,0.0,27.0,2.0,37.0,hzjz
19/04/2020,23,1882.0,1014,31337.0,10.0,331.0,3.0,24.0,8.0,45.0,hzjz
20/04/2020,18,1900.0,1249,32586.0,9.0,324.0,0.0,18.0,1.0,46.0,hzjz
21/04/2020,28,1928.0,1646,34232.0,10.0,317.0,4.0,18.0,1.0,47.0,hzjz
22/04/2020,53,1981.0,1624,35856.0,22.0,314.0,3.0,19.0,0.0,47.0,hzjz
23/04/2020,19,2000.0,1625,37481.0,23.0,321.0,3.0,19.0,2.0,49.0,hzjz
24/04/2020,15,2015.0,1492,38973.0,24.0,325.0,4.0,21.0,1.0,50.0,hzjz
25/04/2020,14,2029.0,660,39633.0,7.0,316.0,2.0,21.0,3.0,53.0,hzjz
26/04/2020,11,2040.0,681,40314.0,7.0,314.0,2.0,23.0,0.0,53.0,hzjz
27/04/2020,3,2043.0,1533,41847.0,2.0,303.0,0.0,21.0,5.0,58.0,hzjz
28/04/2020,12,2055.0,1497,43344.0,6.0,287.0,3.0,21.0,4.0,62.0,hzjz
29/04/2020,19,2074.0,1636,44980.0,3.0,269.0,1.0,19.0,4.0,66.0,hzjz
30/04/2020,11,2085.0,1538,46518.0,4.0,261.0,2.0,20.0,2.0,68.0,hzjz
01/05/2020,3,2088.0,640,47158.0,6.0,245.0,0.0,17.0,6.0,74.0,hzjz
02/05/2020,7,2095.0,1181,48339.0,3.0,239.0,2.0,17.0,2.0,76.0,hzjz
03/05/2020,8,2103.0,897,49236.0,0.0,231.0,0.0,15.0,2.0,78.0,hzjz
04/05/2020,9,2112.0,1405,50641.0,2.0,228.0,1.0,15.0,1.0,79.0,hzjz
05/05/2020,7,2119.0,1844,52485.0,5.0,217.0,1.0,14.0,3.0,82.0,hzjz
06/05/2020,8,2127.0,1565,54050.0,4.0,206.0,1.0,14.0,2.0,84.0,hzjz
07/05/2020,22,2149.0,1556,55606.0,3.0,195.0,0.0,13.0,1.0,85.0,hzjz
08/05/2020,24,2173.0,1565,57171.0,11.0,184.0,1.0,13.0,0.0,85.0,hzjz
09/05/2020,10,2183.0,1395,58566.0,13.0,181.0,1.0,13.0,1.0,86.0,hzjz
10/05/2020,14,2197.0,1030,59596.0,2.0,169.0,0.0,13.0,3.0,89.0,hzjz
11/05/2020,8,2205.0,1760,61356.0,2.0,160.0,0.0,12.0,1.0,90.0,hzjz
12/05/2020,8,2213.0,1875,63231.0,5.0,159.0,0.0,11.0,0.0,90.0,hzjz
13/05/2020,5,2218.0,1876,65107.0,2.0,150.0,2.0,9.0,3.0,93.0,hzjz
14/05/2020,5,2223.0,1390,66497.0,3.0,146.0,0.0,7.0,0.0,93.0,hzjz
15/05/2020,1,2224.0,1807,68304.0,2.0,142.0,1.0,8.0,1.0,94.0,hzjz
16/05/2020,3,2227.0,1363,69667.0,0.0,137.0,1.0,9.0,0.0,94.0,hzjz
17/05/2020,1,2228.0,964,70631.0,1.0,130.0,2.0,10.0,0.0,94.0,hzjz
18/05/2020,1,2229.0,1984,72615.0,1.0,122.0,0.0,10.0,0.0,94.0,hzjz
19/05/2020,6,2235.0,1586,74201.0,6.0,120.0,2.0,10.0,1.0,95.0,hzjz
20/05/2020,3,2238.0,1577,75778.0,2.0,117.0,0.0,9.0,0.0,95.0,hzjz
21/05/2020,6,2244.0,1393,77171.0,2.0,117.0,0.0,9.0,0.0,95.0,hzjz
22/05/2020,0,2244.0,1198,78369.0,4.0,102.0,0.0,5.0,2.0,97.0,hzjz
23/05/2020,0,2244.0,1094,79463.0,0.0,84.0,1.0,6.0,0.0,97.0,hzjz
24/05/2020,1,2245.0,891,80354.0,0.0,81.0,0.0,6.0,0.0,97.0,hzjz
25/05/2020,0,2245.0,1316,81670.0,0.0,78.0,0.0,6.0,0.0,97.0,hzjz
26/05/2020,0,2245.0,1282,82952.0,0.0,42.0,0.0,5.0,2.0,99.0,hzjz
27/05/2020,1,2246.0,777,83729.0,0.0,38.0,1.0,6.0,0.0,99.0,hzjz
28/05/2020,0,2246.0,615,84344.0,0.0,34.0,0.0,6.0,0.0,99.0,hzjz
29/05/2020,1,2247.0,703,85047.0,0.0,28.0,0.0,4.0,2.0,101.0,hzjz
30/05/2020,0,2247.0,356,85403.0,1.0,27.0,0.0,4.0,0.0,101.0,hzjz
31/05/2020,0,2247.0,317,85720.0,0.0,23.0,0.0,4.0,0.0,101.0,hzjz
01/06/2020,0,2247.0,625,86345.0,0.0,22.0,0.0,4.0,0.0,101.0,hzjz
02/06/2020,0,2247.0,626,86971.0,0.0,17.0,0.0,4.0,0.0,101.0,hzjz
03/06/2020,0,2247.0,462,87433.0,0.0,17.0,0.0,4.0,0.0,101.0,hzjz
04/06/2020,1,2248.0,394,87827.0,0.0,15.0,0.0,3.0,0.0,101.0,hzjz
05/06/2020,0,2248.0,407,88234.0,0.0,12.0,0.0,3.0,0.0,101.0,hzjz
06/06/2020,0,2248.0,181,88415.0,0.0,10.0,0.0,1.0,1.0,102.0,hzjz
07/06/2020,0,2248.0,102,88517.0,0.0,10.0,0.0,2.0,0.0,102.0,hzjz
08/06/2020,0,2248.0,450,88967.0,0.0,10.0,0.0,2.0,0.0,102.0,hzjz
09/06/2020,1,2249.0,383,89350.0,0.0,6.0,0.0,0.0,2.0,104.0,hzjz
10/06/2020,1,2250.0,371,89721.0,1.0,7.0,0.0,0.0,0.0,104.0,hzjz
11/06/2020,0,2250.0,146,89867.0,1.0,7.0,0.0,0.0,0.0,104.0,hzjz
12/06/2020,2,2252.0,449,90316.0,0.0,6.0,0.0,0.0,1.0,105.0,hzjz
13/06/2020,1,2253.0,210,90526.0,0.0,6.0,0.0,0.0,0.0,105.0,hzjz
14/06/2020,0,2253.0,121,90647.0,1.0,7.0,0.0,0.0,0.0,105.0,hzjz
15/06/2020,3,2256.0,447,91094.0,0.0,7.0,0.0,0.0,0.0,105.0,hzjz
16/06/2020,3,2259.0,325,91419.0,0.0,4.0,0.0,0.0,0.0,105.0,hzjz
17/06/2020,7,2266.0,401,91820.0,1.0,5.0,0.0,0.0,0.0,105.0,hzjz
18/06/2020,10,2276.0,447,92267.0,4.0,9.0,0.0,0.0,0.0,105.0,hzjz
19/06/2020,17,2293.0,590,92857.0,0.0,8.0,0.0,0.0,0.0,105.0,hzjz
20/06/2020,20,2313.0,362,93219.0,0.0,8.0,0.0,0.0,0.0,105.0,hzjz
21/06/2020,16,2329.0,338,93557.0,1.0,9.0,0.0,0.0,0.0,105.0,hzjz
22/06/2020,32,2361.0,428,93985.0,1.0,9.0,0.0,0.0,0.0,105.0,hzjz
23/06/2020,24,2385.0,929,94914.0,8.0,16.0,0.0,0.0,0.0,105.0,hzjz
24/06/2020,71,2456.0,1084,95998.0,4.0,18.0,0.0,0.0,0.0,105.0,hzjz
25/06/2020,53,2509.0,1017,97015.0,10.0,42.0,0.0,0.0,0.0,105.0,hzjz
26/06/2020,76,2585.0,1535,98550.0,16.0,51.0,0.0,0.0,0.0,105.0,hzjz
27/06/2020,94,2679.0,822,99372.0,6.0,54.0,0.0,0.0,0.0,105.0,hzjz
28/06/2020,50,2729.0,612,99984.0,12.0,60.0,0.0,0.0,0.0,105.0,hzjz
29/06/2020,32,2761.0,1430,101414.0,5.0,65.0,1.0,1.0,0.0,106.0,hzjz
30/06/2020,56,2817.0,1521,102935.0,12.0,75.0,1.0,2.0,0.0,106.0,hzjz
01/07/2020,77,2894.0,1450,104385.0,9.0,80.0,0.0,2.0,1.0,107.0,hzjz
