Bjelovarsko.bilogorska,Brodsko.posavska,Dubrovačko.neretvanska,Grad.Zagreb,Istarska,Karlovačka,Koprivničko.križevačka,Krapinsko.zagorska,Ličko.senjska,Međimurska,Osječko.baranjska,Požeško.slavonska,Primorsko.goranska,Šibensko.kninska,Sisačko.moslavačka,Splitsko.dalmatinska,Varaždinska,Virovitičko.podravska,Vukovarsko.srijemska,Zadarska,Zagrebačka,Hrvatska,Datum,Panonska.Hrvatska,Jadranska.Hrvatska,Sjeverna.Hrvatska,Panonska.Hrvatska.7d,Jadranska.Hrvatska.7d,Sjeverna.Hrvatska.7d,Grad.Zagreb.7d,Hrvatska.7d,Panonska.Hrvatska.14d,Jadranska.Hrvatska.14d,Sjeverna.Hrvatska.14d,Grad.Zagreb.14d,Hrvatska.14d,Panonska.Hrvatska.diff,Jadranska.Hrvatska.diff,Sjeverna.Hrvatska.diff,Grad.Zagreb.diff,Hrvatska.diff,Panonska.Hrvatska.pop,Jadranska.Hrvatska.pop,Sjeverna.Hrvatska.pop,Grad.Zagreb.pop
0,0,0,36,1,0,0,4,0,0,0,0,3,2,1,0,1,0,0,0,0,48,2020-03-21,1,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1060209,1373802,814919,809235
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2020-03-22,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1060209,1373802,814919,809235
1,1,5,56,8,4,0,10,0,1,12,0,7,9,1,10,0,0,0,1,1,127,2020-03-23,19,40,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1060209,1373802,814919,809235
0,0,2,25,3,2,0,5,0,1,6,0,6,0,0,6,0,0,1,3,0,60,2020-03-24,9,20,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1060209,1373802,814919,809235
0,0,1,23,3,0,0,3,0,0,6,0,1,0,2,11,3,0,0,0,0,53,2020-03-25,8,16,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1060209,1373802,814919,809235
1,1,1,43,9,0,0,3,0,0,4,0,0,0,6,10,4,0,1,10,-3,90,2020-03-26,13,30,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1060209,1373802,814919,809235
2,0,5,18,11,0,1,0,0,0,4,0,3,7,0,17,1,0,1,2,0,72,2020-03-27,7,45,2,58,157,35,201,451,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1060209,1373802,814919,809235
0,0,1,18,5,2,1,10,0,0,3,0,0,1,0,0,0,0,4,0,5,50,2020-03-28,9,7,16,66,158,46,183,453,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1060209,1373802,814919,809235
0,1,1,28,3,0,0,5,0,0,4,0,5,0,1,27,2,0,4,7,-5,83,2020-03-29,10,43,2,75,201,48,211,535,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1060209,1373802,814919,809235
0,4,2,30,0,0,1,5,0,0,11,1,3,1,1,8,0,1,2,7,0,77,2020-03-30,20,21,6,76,182,42,185,485,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1060209,1373802,814919,809235
