Bjelovarsko.bilogorska,Brodsko.posavska,Dubrovačko.neretvanska,Grad.Zagreb,Istarska,Karlovačka,Koprivničko.križevačka,Krapinsko.zagorska,Ličko.senjska,Međimurska,Osječko.baranjska,Požeško.slavonska,Primorsko.goranska,Šibensko.kninska,Sisačko.moslavačka,Splitsko.dalmatinska,Varaždinska,Virovitičko.podravska,Vukovarsko.srijemska,Zadarska,Zagrebačka,Hrvatska,Datum,Panonska.Hrvatska,Jadranska.Hrvatska,Sjeverna.Hrvatska,Panonska.Hrvatska.7d,Jadranska.Hrvatska.7d,Sjeverna.Hrvatska.7d,Grad.Zagreb.7d,Hrvatska.7d,Panonska.Hrvatska.14d,Jadranska.Hrvatska.14d,Sjeverna.Hrvatska.14d,Grad.Zagreb.14d,Hrvatska.14d,Panonska.Hrvatska.diff,Jadranska.Hrvatska.diff,Sjeverna.Hrvatska.diff,Grad.Zagreb.diff,Hrvatska.diff,Panonska.Hrvatska.pop,Jadranska.Hrvatska.pop,Sjeverna.Hrvatska.pop,Grad.Zagreb.pop
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-03-21,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1060209,1373802,814919,809235
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-03-22,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1060209,1373802,814919,809235
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-03-23,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1060209,1373802,814919,809235
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-03-24,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1060209,1373802,814919,809235
0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2020-03-25,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1060209,1373802,814919,809235
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2020-03-26,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1060209,1373802,814919,809235
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2020-03-27,1,0,0,2,2,0,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1060209,1373802,814919,809235
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2020-03-28,0,0,1,2,2,1,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1060209,1373802,814919,809235
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-03-29,0,0,0,2,2,1,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1060209,1373802,814919,809235
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2020-03-30,1,0,0,3,2,1,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1060209,1373802,814919,809235
